,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,code,if_trade,category,fenhong,peigu,peigujia,songzhuangu,preclose
90,0.766,0.791,0.798,0.766,2440205.0,191875216.0,2021,7,7,15,0,2021-07-07 15:00,512010,1,0,0,0,0,0,0.775
91,0.791,0.777,0.8,0.775,2322358.0,181853888.0,2021,7,8,15,0,2021-07-08 15:00,512010,1,0,0,0,0,0,0.791
92,0.771,0.779,0.78,0.755,1918793.0,147840288.0,2021,7,9,15,0,2021-07-09 15:00,512010,1,0,0,0,0,0,0.777
93,0.782,0.797,0.799,0.768,2415613.0,190762016.0,2021,7,12,15,0,2021-07-12 15:00,512010,1,0,0,0,0,0,0.779
94,0.795,0.799,0.804,0.788,1487259.0,118152112.0,2021,7,13,15,0,2021-07-13 15:00,512010,1,0,0,0,0,0,0.797
95,0.796,0.801,0.815,0.789,2662492.0,214586816.0,2021,7,14,15,0,2021-07-14 15:00,512010,1,0,0,0,0,0,0.799
96,0.802,0.807,0.807,0.793,1870180.0,149705696.0,2021,7,15,15,0,2021-07-15 15:00,512010,1,0,0,0,0,0,0.8009999999999999
97,0.807,0.803,0.809,0.796,1955861.0,156970000.0,2021,7,16,15,0,2021-07-16 15:00,512010,1,0,0,0,0,0,0.807
98,0.802,0.821,0.822,0.802,2329074.0,189786032.0,2021,7,19,15,0,2021-07-19 15:00,512010,1,0,0,0,0,0,0.8030000000000002
99,0.818,0.826,0.832,0.818,2273140.0,187523600.0,2021,7,20,15,0,2021-07-20 15:00,512010,1,0,0,0,0,0,0.821
