date,open,close,high,low,volume
2021-08-30,3128.47,3048.84,3141.48,3021.21,1252211
2021-08-31,3048.84,3061.84,3082.97,2982.2,1174868
2021-09-01,3009.83,3074.84,3081.34,2933.44,2316894
2021-09-02,3094.34,3159.35,3221.11,3061.84,2422604
2021-09-03,3175.61,3100.84,3175.61,3045.58,1394819
2021-09-06,3082.97,3167.48,3191.86,3058.59,1515226
2021-09-07,3191.86,3295.88,3347.89,3151.23,1622344
2021-09-08,3295.88,3294.25,3346.26,3273.12,1026201
2021-09-09,3274.75,3256.87,3281.25,3224.37,739506
2021-09-10,3238.99,3512.04,3544.54,3230.87,2314945
2021-09-13,3477.91,3453.53,3502.29,3388.52,1297228
2021-09-14,3448.65,3317.01,3463.28,3300.75,1158173
2021-09-15,3307.25,3341.38,3580.3,3287.75,841618
2021-09-16,3305.63,3269.87,3338.13,3212.99,1176954
2021-09-17,3240.62,3180.48,3256.87,3160.98,1124880
2021-09-22,3073.21,3091.09,3102.47,3000.08,1473365
2021-09-23,3110.6,3042.33,3146.35,3037.46,1379838
2021-09-24,3029.33,2988.7,3042.33,2987.07,1265696
2021-09-27,2965.95,3024.46,3042.33,2941.57,1140668
2021-09-28,3008.2,3089.47,3121.97,3004.95,1293167
2021-09-29,3071.59,3118.72,3165.86,3047.21,1230122
2021-09-30,3108.97,3082.97,3126.85,3047.21,795611
2021-10-08,3121.97,3198.36,3238.99,3097.59,1159201
2021-10-11,3256.87,3321.88,3377.14,3256.87,1455338
2021-10-12,3305.63,3313.76,3372.27,3289.38,1031232
2021-10-13,3305.63,3351.14,3404.77,3284.5,807897
2021-10-14,3352.76,3291.0,3406.4,3238.99,842990
2021-10-15,3256.87,3364.14,3403.15,3256.87,993494
2021-10-18,3330.01,3304.0,3346.26,3273.12,729623
2021-10-19,3281.25,3349.51,3367.39,3281.25,682415
2021-10-20,3378.77,3295.88,3383.64,3287.75,662956
2021-10-21,3341.38,3419.4,3429.15,3297.5,1621661
2021-10-22,3445.4,3425.9,3515.29,3386.89,1134964
2021-10-25,3372.27,3438.9,3451.9,3338.13,730828
2021-10-26,3429.15,3427.52,3492.54,3396.64,652807
2021-10-27,3419.4,3406.4,3447.03,3352.76,687600
2021-10-28,3386.89,3373.89,3409.65,3317.01,619011
2021-10-29,3359.26,3338.13,3377.14,3308.88,539930
2021-11-01,3310.5,3320.26,3375.52,3258.5,841490
2021-11-02,3317.01,3123.6,3336.51,3092.72,1997691
2021-11-03,3110.6,3099.22,3133.35,3069.96,1114972
2021-11-04,3107.35,3073.21,3110.6,3061.84,983411
2021-11-05,3069.96,3035.83,3094.34,3024.46,1096040
2021-11-08,3032.58,3000.08,3063.46,2990.33,1376815
2021-11-09,3009.83,3017.96,3037.46,2974.07,1240573
2021-11-10,3006.58,2996.83,3008.2,2957.82,1220851
2021-11-11,2988.7,3151.23,3164.23,2983.82,2084729
2021-11-12,3144.73,3138.23,3196.74,3112.22,957546
2021-11-15,3151.23,3164.23,3196.74,3126.85,655090
2021-11-16,3152.85,3130.1,3182.11,3121.97,601110
2021-11-17,3118.72,3112.22,3143.1,3091.09,664640
2021-11-18,3108.97,3061.84,3113.85,3050.46,799844
2021-11-19,3061.84,3118.72,3133.35,3045.58,786372
2021-11-22,3099.22,3113.85,3134.97,3078.09,738618
2021-11-23,3112.22,3074.84,3151.23,3042.33,1235978
2021-11-24,3056.96,3073.21,3086.22,3039.08,741311
2021-11-25,3052.09,3042.33,3060.21,3034.21,603533
2021-11-26,3032.58,3026.08,3040.71,3016.33,694500
