datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,volume
2021-12-10 14:10:00,3658.74,3659.47,3661.29,3658.74,80332688.0,8033271808.0,2021,12,10,14,10,2021-12-10 14:10,855,1122,80332688.0
2021-12-10 14:15:00,3659.14,3655.45,3659.14,3655.45,91452184.0,9145221120.0,2021,12,10,14,15,2021-12-10 14:15,835,1160,91452184.0
2021-12-10 14:20:00,3655.76,3659.43,3660.25,3655.56,84361184.0,8436121600.0,2021,12,10,14,20,2021-12-10 14:20,855,1139,84361184.0
2021-12-10 14:25:00,3660.0,3659.63,3660.59,3658.32,80184576.0,8018460672.0,2021,12,10,14,25,2021-12-10 14:25,869,1131,80184576.0
2021-12-10 14:30:00,3660.02,3658.8,3660.82,3658.55,80501776.0,8050180096.0,2021,12,10,14,30,2021-12-10 14:30,876,1125,80501776.0
2021-12-10 14:35:00,3659.12,3659.52,3660.37,3658.05,97098104.0,9709813760.0,2021,12,10,14,35,2021-12-10 14:35,874,1118,97098104.0
2021-12-10 14:40:00,3659.26,3661.8,3661.94,3659.13,97227216.0,9722724352.0,2021,12,10,14,40,2021-12-10 14:40,904,1081,97227216.0
2021-12-10 14:45:00,3661.68,3661.36,3661.96,3659.74,115578936.0,11557896192.0,2021,12,10,14,45,2021-12-10 14:45,932,1064,115578936.0
2021-12-10 14:50:00,3660.9,3663.19,3663.61,3660.9,121812392.0,12181241856.0,2021,12,10,14,50,2021-12-10 14:50,952,1035,121812392.0
2021-12-10 14:55:00,3663.07,3662.69,3663.84,3662.02,143594256.0,14359429120.0,2021,12,10,14,55,2021-12-10 14:55,953,1036,143594256.0
2021-12-10 15:00:00,3662.63,3666.35,3666.43,3662.23,215345712.0,21534572544.0,2021,12,10,15,0,2021-12-10 15:00,945,1041,215345712.0
2021-12-13 09:35:00,3686.94,3687.91,3692.8,3686.94,559362176.0,55936221184.0,2021,12,13,9,35,2021-12-13 09:35,884,1037,559362176.0
2021-12-13 09:40:00,3688.25,3696.3,3696.97,3685.97,339939136.0,33993916416.0,2021,12,13,9,40,2021-12-13 09:40,1041,919,339939136.0
2021-12-13 09:45:00,3695.86,3701.53,3702.16,3695.38,290473536.0,29047357440.0,2021,12,13,9,45,2021-12-13 09:45,1069,890,290473536.0
2021-12-13 09:50:00,3700.76,3701.23,3701.87,3697.23,241213408.0,24121344000.0,2021,12,13,9,50,2021-12-13 09:50,1020,943,241213408.0
2021-12-13 09:55:00,3701.76,3707.09,3707.42,3701.13,224233200.0,22423322624.0,2021,12,13,9,55,2021-12-13 09:55,1024,938,224233200.0
2021-12-13 10:00:00,3707.44,3706.36,3708.84,3705.46,210099536.0,21009956864.0,2021,12,13,10,0,2021-12-13 10:00,993,987,210099536.0
2021-12-13 10:05:00,3706.36,3706.39,3708.94,3705.27,196779840.0,19677986816.0,2021,12,13,10,5,2021-12-13 10:05,974,999,196779840.0
2021-12-13 10:10:00,3707.12,3700.95,3707.6,3700.0,161677776.0,16167780352.0,2021,12,13,10,10,2021-12-13 10:10,932,1033,161677776.0
2021-12-13 10:15:00,3700.79,3701.74,3701.74,3698.74,147058000.0,14705803264.0,2021,12,13,10,15,2021-12-13 10:15,956,1020,147058000.0
2021-12-13 10:20:00,3701.69,3698.08,3701.69,3697.91,135438800.0,13543882752.0,2021,12,13,10,20,2021-12-13 10:20,949,1015,135438800.0
2021-12-13 10:25:00,3697.47,3692.57,3697.47,3692.57,123157352.0,12315738112.0,2021,12,13,10,25,2021-12-13 10:25,934,1017,123157352.0
